acrePrice improvements tillable financing crpPct productivity NW SC SE SW WC
2400 0 60 seller_financed 0 44 No No No No Yes
2500 29 77 title_transfer 0 56 No No No No Yes
4959 10 89 title_transfer 0 77 No Yes No No No
4090 0 91 title_transfer 0 82 No Yes No No No
4251 0 83 title_transfer 0 78 No Yes No No No
5208 0 95 title_transfer 0 74 No Yes No No No
6575 0 95 title_transfer 0 80 No Yes No No No
5896 0 95 title_transfer 0 85 No Yes No No No
3658 0 82 title_transfer 0 68 No Yes No No No
5741 0 96 seller_financed 0 64 No Yes No No No
5888 0 94 seller_financed 0 69 No Yes No No No
5000 0 95 title_transfer 0 77 No Yes No No No
5818 0 96 title_transfer 0 84 No Yes No No No
7036 1 92 seller_financed 0 86 No Yes No No No
4177 0 89 title_transfer 0 80 No Yes No No No
7050 0 98 title_transfer 0 75 No Yes No No No
5159 0 96 title_transfer 0 86 No Yes No No No
4461 0 94 title_transfer 0 80 No Yes No No No
4299 0 98 title_transfer 0 74 No Yes No No No
4869 0 95 title_transfer 5 79 No Yes No No No
5639 0 96 title_transfer 0 87 No Yes No No No
3034 0 91 title_transfer 0 63 No Yes No No No
4316 0 100 title_transfer 0 84 No Yes No No No
4194 0 94 title_transfer 0 82 No Yes No No No
3756 0 90 title_transfer 0 75 No Yes No No No
4562 0 94 title_transfer 0 76 No Yes No No No
4845 0 97 title_transfer 0 85 No Yes No No No
5778 0 99 title_transfer 8 85 No Yes No No No
5085 0 92 title_transfer 0 82 No Yes No No No
5678 0 96 title_transfer 0 86 No Yes No No No
5651 0 95 title_transfer 0 76 No Yes No No No
5991 0 99 title_transfer 0 67 No Yes No No No
4036 0 82 title_transfer 0 71 No No Yes No No
4731 0 100 title_transfer 0 74 No No Yes No No
3966 0 80 title_transfer 0 8 No No Yes No No
5655 44 51 title_transfer 0 60 No No Yes No No
5654 0 97 title_transfer 0 86 No No Yes No No
5000 0 73 title_transfer 0 67 No No Yes No No
3019 0 100 title_transfer 0 49 No No Yes No No
3373 0 90 title_transfer 0 77 No No Yes No No
4935 0 91 title_transfer 0 65 No No Yes No No
5369 0 88 title_transfer 0 72 No No Yes No No
3862 0 97 title_transfer 100 65 No No Yes No No
4000 0 93 title_transfer 0 80 No No Yes No No
3496 0 92 title_transfer 0 72 No No Yes No No
7387 50 50 seller_financed 0 67 No No Yes No No
7208 0 95 title_transfer 0 90 No No Yes No No
2898 0 82 title_transfer 0 70 No No Yes No No
5515 11 90 seller_financed 0 87 No No Yes No No
5224 0 97 title_transfer 0 73 No No Yes No No
5913 0 50 title_transfer 0 84 No No Yes No No
3335 0 82 title_transfer 0 71 No No Yes No No
4897 0 94 title_transfer 0 73 No No Yes No No
3389 0 97 title_transfer 18 70 No No Yes No No
2933 0 75 title_transfer 23 53 No No No No Yes
3667 0 93 title_transfer 0 64 No No No No Yes
3490 0 96 title_transfer 0 64 No No No No Yes
3889 15 89 title_transfer 0 67 No No No No Yes
3972 0 100 title_transfer 0 52 No No No No Yes
3112 3 88 seller_financed 0 68 No No No No Yes
1979 0 73 title_transfer 31 55 No No Yes No No
7325 0 95 title_transfer 0 77 No No No Yes No
7135 0 96 title_transfer 0 80 No No No Yes No
3545 0 90 title_transfer 0 67 No No No Yes No
6774 0 95 title_transfer 0 82 No No No Yes No
3752 0 81 title_transfer 23 65 No No No Yes No
6579 0 94 title_transfer 0 84 No No No Yes No
6898 0 99 title_transfer 0 88 No No No Yes No
4499 0 97 seller_financed 0 85 No No No Yes No
6326 0 93 title_transfer 1 73 No No No Yes No
2287 0 97 title_transfer 0 34 No No No No No
5550 0 96 title_transfer 0 73 No No No No No
4734 0 92 title_transfer 2 73 No No No No No
5076 0 92 title_transfer 0 79 No No No No No
4951 0 92 title_transfer 0 72 No No No No No
3869 9 82 title_transfer 0 70 No No No No No
4000 0 83 title_transfer 0 57 No No No No No
2000 0 60 title_transfer 0 68 No No No No No
4756 0 91 title_transfer 0 76 No No No No No
4878 0 97 title_transfer 0 78 No No No No No
4631 14 80 seller_financed 0 77 No No No No No
2388 0 88 title_transfer 0 65 No No No No No
2459 0 98 title_transfer 0 35 No No No No No
2667 10 91 title_transfer 92 31 No No No No No
4190 0 92 title_transfer 8 69 No No No No No
7869 0 98 title_transfer 0 78 No No No No No
4788 0 94 title_transfer 0 78 No No No No No
3700 0 93 title_transfer 0 77 No No No No No
4366 0 97 title_transfer 0 74 No No No No No
5870 0 97 title_transfer 0 60 No No No No Yes
2470 1 88 title_transfer 0 49 No No No No Yes
4043 0 96 title_transfer 0 58 No No No No Yes
1951 0 89 title_transfer 89 38 No No No No Yes
3655 1 86 title_transfer 0 57 No No No No Yes
3170 0 92 title_transfer 0 50 No No No No Yes
4200 0 100 title_transfer 0 54 No No No No Yes
5234 0 92 title_transfer 0 55 No No No No Yes
1180 0 46 title_transfer 46 38 No No No No Yes
2367 8 93 title_transfer 0 47 No No No No Yes
1896 0 94 title_transfer 92 37 No No No No Yes
2092 0 99 title_transfer 100 36 No No No No Yes
4021 0 96 title_transfer 0 62 No No No No Yes
3474 0 95 title_transfer 0 54 No No No No Yes
1273 0 38 title_transfer 46 49 No No No No Yes
4033 0 98 title_transfer 0 60 No No No No Yes
4033 0 98 title_transfer 0 59 No No No No Yes
2933 0 78 title_transfer 0 58 No No No No Yes
5834 28 66 seller_financed 71 65 No Yes No No No
3567 0 95 title_transfer 0 57 No No No Yes No
2709 0 89 title_transfer 69 52 No No No Yes No
3050 0 97 title_transfer 40 59 No No No Yes No
3018 0 95 seller_financed 0 57 No No No Yes No
4166 0 94 title_transfer 0 57 No No No Yes No
4661 0 96 title_transfer 0 64 No No No Yes No
4661 0 99 title_transfer 0 72 No No No Yes No
2802 23 72 title_transfer 0 47 No No No Yes No
2933 0 97 title_transfer 77 52 No No No Yes No
3983 0 96 title_transfer 12 61 No No No Yes No
6371 0 96 title_transfer 0 70 No No No Yes No
4964 0 98 title_transfer 0 1 No No No Yes No
3378 0 98 title_transfer 0 1 No No No Yes No
5488 0 99 title_transfer 0 68 No No No Yes No
5000 0 97 title_transfer 0 72 No No No Yes No
5285 0 98 title_transfer 0 70 No No No Yes No
4653 0 94 title_transfer 0 66 No No No Yes No
4654 0 91 title_transfer 6 64 No No No Yes No
5699 0 98 title_transfer 0 73 No No No Yes No
2438 20 75 title_transfer 2 52 No No No Yes No
6452 0 99 title_transfer 0 74 No No No Yes No
4450 0 96 title_transfer 0 1 No No No Yes No
1773 0 94 title_transfer 0 43 Yes No No No No
1525 0 91 title_transfer 0 57 Yes No No No No
1678 0 99 title_transfer 0 48 Yes No No No No
1384 0 85 seller_financed 0 47 Yes No No No No
509 0 70 title_transfer 71 10 Yes No No No No
1097 0 51 title_transfer 0 48 Yes No No No No
1765 0 96 title_transfer 0 47 Yes No No No No
3075 0 99 title_transfer 0 49 Yes No No No No
1400 0 100 title_transfer 0 50 Yes No No No No
1532 0 77 title_transfer 0 45 Yes No No No No
5382 0 96 title_transfer 0 66 No No Yes No No
6418 0 98 title_transfer 0 60 No No Yes No No
5234 0 96 title_transfer 0 68 No No Yes No No
4381 0 92 title_transfer 0 63 No No Yes No No
5958 7 99 title_transfer 0 60 No No Yes No No
4717 0 98 title_transfer 0 78 No No Yes No No
5217 0 92 title_transfer 0 70 No No Yes No No
4749 0 96 title_transfer 0 70 No No Yes No No
6159 0 97 seller_financed 0 80 No No Yes No No
5585 0 95 title_transfer 0 75 No No Yes No No
5536 0 96 title_transfer 0 69 No No Yes No No
4996 0 96 title_transfer 0 74 No No Yes No No
4910 0 93 title_transfer 1 69 No No Yes No No
4536 0 96 title_transfer 0 75 No No Yes No No
4000 1 97 seller_financed 0 71 No No Yes No No
3781 0 91 title_transfer 0 70 No No Yes No No
4337 0 99 title_transfer 0 75 No No Yes No No
5702 16 91 title_transfer 0 74 No No Yes No No
6412 0 92 title_transfer 0 61 No No Yes No No
5991 0 96 title_transfer 0 62 No No Yes No No
4887 0 98 title_transfer 0 65 No No Yes No No
8659 0 98 title_transfer 0 80 No No Yes No No
3860 0 92 title_transfer 0 66 No No No Yes No
3885 0 100 title_transfer 0 70 No No No Yes No
2561 0 96 seller_financed 70 61 No No No Yes No
3443 0 91 title_transfer 0 64 No No No Yes No
3876 0 89 title_transfer 0 72 No No No Yes No
3303 0 79 title_transfer 7 53 No No No Yes No
4101 0 96 title_transfer 4 61 No No No Yes No
1172 2 61 seller_financed 61 29 No No No Yes No
5292 0 100 title_transfer 0 75 No No No Yes No
3948 0 98 title_transfer 1 74 No No No Yes No
3673 5 91 title_transfer 0 60 No No No Yes No
3919 0 94 title_transfer 0 67 No No No Yes No
5074 0 98 title_transfer 0 80 No No No Yes No
6500 0 96 title_transfer 1 74 No No No Yes No
3196 0 54 title_transfer 100 33 No No No Yes No
5958 0 87 title_transfer 0 76 No No No Yes No
6112 0 92 title_transfer 0 69 No No No Yes No
2077 0 62 title_transfer 0 55 No No No Yes No
4745 0 83 title_transfer 0 60 No No No Yes No
2832 0 57 title_transfer 0 37 No No No Yes No
4566 0 65 title_transfer 0 52 No No No Yes No
6777 0 96 seller_financed 0 86 No No No Yes No
3161 0 70 title_transfer 0 44 No No No Yes No
3136 0 83 title_transfer 0 64 No No No Yes No
4555 0 90 title_transfer 0 66 No No No Yes No
6998 0 97 title_transfer 0 84 No No No Yes No
2943 0 96 title_transfer 0 62 Yes No No No No
2330 0 97 title_transfer 0 69 Yes No No No No
588 0 83 title_transfer 93 33 Yes No No No No
1445 2 89 title_transfer 67 32 Yes No No No No
937 0 95 title_transfer 0 34 Yes No No No No
1458 0 88 title_transfer 69 34 Yes No No No No
1506 63 85 title_transfer 0 25 Yes No No No No
2026 0 45 seller_financed 0 58 No No No Yes No
6374 0 96 title_transfer 0 75 No No No Yes No
3095 0 89 title_transfer 0 62 No No No Yes No
6950 0 99 title_transfer 0 77 No No No Yes No
5000 0 99 title_transfer 0 68 No No No Yes No
5946 0 97 title_transfer 4 69 No No No Yes No
4986 0 95 seller_financed 0 66 No No No Yes No
5125 0 84 title_transfer 0 70 No No No Yes No
3843 0 92 title_transfer 0 63 No No No Yes No
6451 0 100 title_transfer 0 73 No No No Yes No
5504 0 98 title_transfer 0 66 No No No Yes No
5504 0 100 title_transfer 0 68 No No No Yes No
5946 0 95 title_transfer 1 67 No No No Yes No
7350 0 98 title_transfer 0 53 No No No No No
7434 0 84 title_transfer 0 83 No No No No No
5100 0 85 title_transfer 0 67 No No No No No
6615 0 90 title_transfer 0 63 No No No No No
6666 0 99 title_transfer 0 69 No No No No No
6766 0 95 title_transfer 0 60 No No No No No
7445 0 98 title_transfer 0 70 No No No No No
5125 0 95 title_transfer 0 72 No No No No No
5326 0 94 title_transfer 3 73 No No No No No
5000 0 96 seller_financed 0 65 No No No No No
5656 0 92 title_transfer 0 61 No No No No No
4961 0 94 title_transfer 8 73 No No No No No
5478 0 99 seller_financed 0 71 No No No No No
4893 0 96 seller_financed 0 74 No No No No No
7432 0 99 title_transfer 0 68 No No No No No
5722 0 95 seller_financed 0 64 No No No No No
6584 0 92 title_transfer 0 72 No No No No No
4916 1 96 title_transfer 0 70 No No No No No
5509 0 99 title_transfer 0 65 No No No No No
5365 0 97 title_transfer 0 77 No No No No No
5000 0 100 title_transfer 0 66 No No No No No
5186 0 100 title_transfer 0 67 No No No No No
6105 0 98 title_transfer 0 69 No No No No No
5243 0 82 title_transfer 0 78 No Yes No No No
3760 0 91 seller_financed 0 77 No Yes No No No
3964 0 98 title_transfer 0 96 No Yes No No No
5241 0 71 title_transfer 0 84 No Yes No No No
5208 0 90 title_transfer 0 81 No Yes No No No
4046 13 75 title_transfer 0 90 No Yes No No No
6518 42 60 seller_financed 0 77 No Yes No No No
3171 0 52 seller_financed 0 75 No Yes No No No
2233 0 97 title_transfer 0 59 No Yes No No No
4124 11 70 title_transfer 52 72 No Yes No No No
3949 24 87 title_transfer 0 66 No Yes No No No
4867 0 95 seller_financed 0 87 No Yes No No No
11249 52 93 seller_financed 0 85 No Yes No No No
4057 0 97 title_transfer 0 66 No Yes No No No
14379 62 91 title_transfer 0 89 No Yes No No No
9991 14 75 title_transfer 0 79 No Yes No No No
3942 0 100 title_transfer 0 77 No Yes No No No
5136 0 98 title_transfer 0 88 No Yes No No No
5405 0 81 title_transfer 0 83 No Yes No No No
6303 0 95 title_transfer 0 87 No Yes No No No
5250 0 100 title_transfer 0 81 No Yes No No No
5333 0 92 title_transfer 0 79 No Yes No No No
8550 0 60 title_transfer 0 88 No Yes No No No
5280 0 85 title_transfer 0 81 No Yes No No No
4262 0 79 title_transfer 0 71 No Yes No No No
4610 0 88 title_transfer 0 71 No Yes No No No
4827 0 98 title_transfer 0 87 No Yes No No No
6112 0 98 title_transfer 0 89 No Yes No No No
4673 0 94 title_transfer 0 77 No Yes No No No
3007 0 32 seller_financed 0 54 No No No Yes No
7911 15 89 seller_financed 0 93 No No No Yes No
5118 0 87 title_transfer 0 94 No No No Yes No
6333 0 91 seller_financed 0 85 No No No Yes No
4235 0 92 title_transfer 0 66 No No No No No
4744 0 89 title_transfer 0 68 No No No No No
5324 0 79 title_transfer 0 63 No No No No No
5709 0 86 title_transfer 0 68 No No No No No
5709 0 97 title_transfer 0 65 No No No No No
6222 0 98 title_transfer 0 69 No No No No No
5500 0 87 title_transfer 0 49 No No No No No
2587 0 57 title_transfer 0 59 No No No No No
5200 0 100 title_transfer 0 63 No No No No No
5000 0 100 title_transfer 0 61 No No No No No
6148 0 100 title_transfer 0 66 No No No No No
5734 0 90 title_transfer 0 68 No No No No No
6217 0 96 title_transfer 0 52 No No No No No
5132 12 88 seller_financed 0 62 No No No No No
5176 0 99 seller_financed 0 67 No No No No No
4784 0 95 title_transfer 0 75 No No No No No
3138 0 100 title_transfer 0 64 No No No No No
4453 0 100 title_transfer 0 20 No No No No No
2539 0 49 title_transfer 0 46 No No No No No
4377 0 85 title_transfer 0 64 No Yes No No No
4500 0 91 title_transfer 0 48 No Yes No No No
5628 0 98 title_transfer 0 31 No Yes No No No
4192 0 97 title_transfer 0 74 No Yes No No No
7065 36 68 seller_financed 0 6 No Yes No No No
6047 0 96 title_transfer 0 92 No Yes No No No
5575 0 99 title_transfer 0 37 No Yes No No No
2968 0 96 title_transfer 0 65 No No No No Yes
4826 0 99 title_transfer 0 66 No No No No Yes
3538 0 96 title_transfer 0 67 No No No No Yes
4204 0 96 seller_financed 0 70 No No No No Yes
4417 0 100 title_transfer 0 67 No No No No Yes
4494 0 98 title_transfer 0 67 No No No No Yes
4202 4 89 title_transfer 8 63 No No No No Yes
3305 0 98 title_transfer 0 55 No No No No Yes
3138 17 90 title_transfer 0 50 No No No No Yes
1852 0 93 title_transfer 34 43 No No No No Yes
2071 0 68 title_transfer 2 53 No No No No Yes
2383 0 98 title_transfer 98 50 No No No No Yes
3926 0 98 title_transfer 28 55 No No No No Yes
3996 0 83 title_transfer 4 65 No No No No Yes
5067 0 90 title_transfer 0 61 No No No No Yes
1671 0 50 title_transfer 0 34 No No No No Yes
4781 1 90 title_transfer 0 70 No No No No Yes
2700 0 84 title_transfer 0 56 No No No No Yes
3616 0 96 title_transfer 0 54 No No No No Yes
4445 0 96 title_transfer 0 67 No No No No Yes
5282 0 100 title_transfer 0 72 No Yes No No No
4322 0 100 title_transfer 27 71 No Yes No No No
5387 18 99 title_transfer 6 74 No Yes No No No
4186 13 82 title_transfer 75 57 No Yes No No No
5700 0 100 title_transfer 0 87 No Yes No No No
4652 0 100 title_transfer 0 76 No Yes No No No
5065 0 100 title_transfer 0 80 No Yes No No No
4873 0 99 title_transfer 0 60 No Yes No No No
3125 0 88 title_transfer 0 76 No Yes No No No
1684 0 89 title_transfer 0 27 No Yes No No No
3562 0 82 seller_financed 0 78 No Yes No No No
4059 0 94 title_transfer 0 41 No Yes No No No
5553 0 99 title_transfer 0 80 No Yes No No No
4838 0 98 title_transfer 0 50 No Yes No No No
4156 0 97 title_transfer 0 68 No No No No Yes
3483 0 99 title_transfer 0 69 No No No No Yes
2388 0 97 seller_financed 0 60 No No No No Yes
3359 0 98 seller_financed 0 69 No No No No Yes
4205 0 98 title_transfer 0 65 No No No No Yes
3247 0 99 title_transfer 0 58 No No No No Yes
3029 0 99 title_transfer 0 67 No No No No Yes
3188 0 100 title_transfer 0 62 No No No No Yes
2115 0 70 title_transfer 0 70 No No No No Yes
2333 0 61 title_transfer 0 51 No No No No Yes
1839 0 52 title_transfer 0 60 No No No No Yes
3898 0 95 title_transfer 0 61 No No No No Yes
2395 0 74 title_transfer 0 63 No No No No Yes
4071 0 91 title_transfer 0 65 No No No No Yes
3391 0 98 title_transfer 0 52 No No No No Yes
4024 0 90 title_transfer 12 65 No No No No Yes
5216 0 96 title_transfer 0 66 No No No No Yes
3374 0 85 title_transfer 18 63 No No No No Yes
4500 0 96 title_transfer 0 63 No No No No Yes
5320 0 96 title_transfer 0 63 No No No No Yes
4878 0 95 title_transfer 0 70 No No No No Yes
4152 0 100 seller_financed 0 56 No No No No Yes
